top_category,top_material,top_color,top_color_code,bottom_category,bottom_material,bottom_color,bottom_color_code,shoes_category,shoes_material,shoes_color,shoes_color_code,style,temperature,weather_condition,score
Cardigan,Polyester,"[231, 60, 44]",109.31,Shorts,Linen,"[194, 245, 92]",212.31,Oxfords,Wool,"[252, 101, 67]",142.27,Bohemian,30,Rainy,5.0
Cardigan,Wool,"[65, 69, 204]",83.19,Chinos,Wool,"[138, 230, 215]",200.78,Oxfords,Mesh,"[135, 67, 181]",100.33,Vintage,12,Windy,5.0
Tunic,Silk,"[135, 79, 251]",115.35,Leggings,Linen,"[214, 74, 254]",136.38,Boots,Knit,"[123, 144, 188]",142.74,Formal,3,Sunny,6.0
Tunic,Wool,"[172, 222, 194]",203.86,Leggings,Silk,"[43, 12, 213]",44.18,Heels,Leather,"[185, 142, 155]",156.34,Elegant,2,Sunny,5.0
Cardigan,Wool,"[179, 40, 25]",79.85,Leggings,Silk,"[46, 124, 155]",104.21,Running Shoes,Suede,"[222, 75, 232]",136.85,Business Casual,24,Snowy,1.5
Cardigan,Linen,"[186, 32, 233]",100.96,Trousers,Silk,"[189, 91, 106]",122.01,Sandals,Velvet,"[98, 52, 65]",67.24,Casual,18,Rainy,3.0
Sweater,Fleece,"[32, 234, 121]",160.72,Jeans,Wool,"[219, 148, 80]",161.48,Flip-Flops,Velvet,"[108, 50, 47]",67.0,Bohemian,21,Windy,5.0
Hoodie,Wool,"[11, 195, 99]",129.04,Cargo Pants,Silk,"[198, 224, 138]",206.42,Loafers,Canvas,"[41, 75, 93]",66.89,Casual,16,Windy,5.0
Hoodie,Leather,"[44, 194, 141]",143.11,Trousers,Linen,"[179, 112, 19]",121.43,Running Shoes,Leather,"[50, 86, 170]",84.81,Bohemian,30,Snowy,1.0
Jacket,Linen,"[35, 65, 48]",54.09,Joggers,Cotton,"[13, 91, 9]",58.33,Sandals,Leather,"[132, 22, 135]",67.77,Minimalist,4,Sunny,5.0
Tunic,Cotton,"[218, 216, 154]",209.53,Chinos,Cotton,"[140, 162, 138]",152.69,Moccasins,Synthetic,"[56, 103, 20]",79.48,Business Casual,2,Cloudy,5.0
Tank Top,Wool,"[162, 168, 97]",158.11,Cargo Pants,Denim,"[246, 127, 173]",167.83,Boots,Canvas,"[160, 54, 26]",82.5,Bohemian,12,Rainy,5.0
Hoodie,Fleece,"[131, 138, 2]",120.4,Cargo Pants,Velvet,"[40, 92, 159]",84.09,Boots,Velvet,"[81, 19, 32]",39.02,Elegant,3,Snowy,4.0
Coat,Silk,"[60, 160, 156]",129.64,Jeans,Leather,"[173, 210, 92]",185.48,Oxfords,Velvet,"[170, 171, 232]",177.66,Casual,17,Snowy,3.0
Sweater,Polyester,"[142, 38, 222]",90.07,Chinos,Velvet,"[152, 201, 62]",170.5,Moccasins,Suede,"[146, 91, 98]",108.24,Vintage,9,Rainy,5.0
Sweater,Nylon,"[222, 57, 229]",125.94,Chinos,Denim,"[144, 102, 46]",108.17,Loafers,Synthetic,"[11, 173, 79]",113.85,Sporty,24,Sunny,3.0
Tunic,Denim,"[74, 90, 250]",103.46,Chinos,Wool,"[24, 83, 210]",79.84,Running Shoes,Denim,"[185, 5, 178]",78.54,Streetwear,13,Sunny,5.0
T-shirt,Wool,"[100, 136, 50]",115.43,Culottes,Wool,"[104, 51, 5]",61.6,Boots,Mesh,"[202, 87, 131]",126.4,Streetwear,-5,Cloudy,3.5
Coat,Nylon,"[34, 236, 28]",151.89,Shorts,Nylon,"[57, 58, 151]",68.3,Boots,Mesh,"[11, 247, 15]",149.99,Preppy,29,Snowy,1.0
Tunic,Nylon,"[254, 191, 153]",205.5,Cargo Pants,Leather,"[227, 34, 219]",112.8,Heels,Velvet,"[27, 33, 146]",44.09,Business Casual,30,Snowy,1.0
Hoodie,Silk,"[116, 129, 60]",117.25,Skirt,Wool,"[71, 152, 172]",130.06,Running Shoes,Knit,"[255, 201, 236]",221.14,Business Casual,12,Sunny,5.0
Jacket,Polyester,"[95, 175, 168]",150.28,Leggings,Velvet,"[85, 162, 75]",129.06,Flip-Flops,Rubber,"[57, 123, 139]",105.09,Formal,30,Windy,3.0
Sweater,Leather,"[95, 196, 251]",172.07,Cargo Pants,Fleece,"[79, 91, 254]",105.99,Loafers,Canvas,"[212, 118, 68]",140.41,Formal,34,Windy,2.5
Cardigan,Fleece,"[158, 181, 191]",175.26,Culottes,Denim,"[13, 215, 71]",138.19,Oxfords,Synthetic,"[166, 38, 201]",94.85,Bohemian,8,Rainy,5.0
Blouse,Cotton,"[10, 96, 161]",77.7,Cargo Pants,Silk,"[94, 42, 217]",77.5,Sandals,Knit,"[229, 18, 198]",101.61,Formal,11,Cloudy,5.0
Jacket,Denim,"[114, 5, 186]",58.23,Trousers,Wool,"[142, 121, 67]",121.12,Running Shoes,Leather,"[33, 244, 140]",169.05,Formal,28,Sunny,5.0
T-shirt,Leather,"[121, 166, 84]",143.2,Cargo Pants,Polyester,"[153, 226, 163]",196.99,Running Shoes,Suede,"[248, 230, 199]",231.85,Vintage,29,Sunny,2.5
Cardigan,Silk,"[143, 148, 231]",155.97,Shorts,Velvet,"[77, 177, 23]",129.54,Oxfords,Synthetic,"[242, 98, 193]",151.89,Elegant,28,Snowy,1.5
Cardigan,Wool,"[63, 236, 137]",172.99,Joggers,Polyester,"[253, 116, 6]",144.42,Oxfords,Rubber,"[165, 149, 54]",142.95,Streetwear,-5,Sunny,3.5
Hoodie,Linen,"[176, 84, 206]",125.42,Shorts,Linen,"[55, 16, 68]",33.59,Espadrilles,Synthetic,"[191, 183, 187]",185.85,Bohemian,3,Windy,4.0
Sweater,Velvet,"[217, 51, 13]",96.3,Trousers,Linen,"[6, 141, 136]",100.06,Oxfords,Knit,"[190, 58, 228]",116.85,Bohemian,-1,Cloudy,6.5
Tank Top,Denim,"[34, 194, 148]",140.92,Cargo Pants,Silk,"[190, 62, 161]",111.56,Running Shoes,Leather,"[119, 152, 226]",150.57,Streetwear,35,Windy,2.5
Blouse,Polyester,"[116, 78, 255]",109.54,Culottes,Linen,"[85, 31, 185]",64.7,Flip-Flops,Suede,"[248, 15, 80]",92.08,Sporty,32,Sunny,5.0
Blouse,Polyester,"[126, 21, 67]",57.64,Jeans,Cotton,"[246, 66, 175]",132.25,Loafers,Mesh,"[93, 239, 2]",168.33,Business Casual,-4,Snowy,1.5
Jacket,Velvet,"[155, 212, 227]",196.67,Jeans,Leather,"[196, 207, 58]",186.72,Sneakers,Mesh,"[121, 79, 234]",109.23,Business Casual,19,Snowy,1.5
T-shirt,Linen,"[2, 91, 68]",61.77,Shorts,Silk,"[140, 104, 227]",128.79,Loafers,Leather,"[79, 146, 232]",135.77,Casual,35,Cloudy,7.0
T-shirt,Nylon,"[88, 126, 225]",125.92,Cargo Pants,Velvet,"[226, 243, 177]",230.39,Oxfords,Wool,"[154, 6, 249]",77.95,Business Casual,0,Rainy,2.5
Hoodie,Polyester,"[254, 190, 171]",206.97,Shorts,Denim,"[241, 218, 146]",216.67,Moccasins,Synthetic,"[143, 82, 252]",119.62,Vintage,17,Windy,5.0
Sweater,Linen,"[121, 228, 163]",188.6,Sweatpants,Wool,"[187, 18, 130]",81.3,Boots,Velvet,"[169, 84, 41]",104.51,Formal,7,Cloudy,5.0
Blouse,Leather,"[123, 193, 162]",168.54,Cargo Pants,Denim,"[202, 93, 215]",139.5,Heels,Velvet,"[83, 59, 184]",80.43,Preppy,3,Windy,5.0
Hoodie,Linen,"[147, 195, 150]",175.52,Cargo Pants,Wool,"[53, 164, 164]",130.81,Oxfords,Leather,"[78, 37, 96]",55.98,Streetwear,2,Rainy,5.0
T-shirt,Leather,"[88, 88, 61]",84.92,Culottes,Linen,"[36, 127, 51]",91.13,Loafers,Suede,"[83, 219, 6]",154.05,Business Casual,22,Cloudy,5.0
Coat,Fleece,"[136, 103, 226]",126.89,Sweatpants,Velvet,"[209, 200, 144]",196.31,Moccasins,Synthetic,"[213, 123, 139]",151.73,Vintage,19,Cloudy,5.0
Sweater,Silk,"[249, 169, 112]",186.42,Joggers,Denim,"[179, 82, 10]",102.8,Flip-Flops,Suede,"[105, 228, 91]",175.6,Vintage,2,Windy,4.5
Coat,Nylon,"[10, 123, 49]",80.78,Skirt,Denim,"[89, 86, 55]",83.36,Espadrilles,Suede,"[231, 49, 42]",102.62,Streetwear,19,Sunny,5.0
Cardigan,Fleece,"[163, 148, 121]",149.41,Joggers,Cotton,"[226, 23, 38]",85.41,Boots,Velvet,"[25, 202, 119]",139.61,Minimalist,0,Rainy,6.0
T-shirt,Velvet,"[238, 92, 34]",129.04,Leggings,Nylon,"[87, 12, 48]",38.53,Sneakers,Rubber,"[53, 9, 44]",26.15,Formal,3,Snowy,1.0
Blouse,Wool,"[227, 255, 154]",235.11,Skirt,Leather,"[95, 174, 2]",130.77,Loafers,Mesh,"[98, 213, 251]",182.95,Casual,-2,Cloudy,2.5
Blouse,Silk,"[246, 126, 152]",164.84,Joggers,Denim,"[106, 106, 169]",113.18,Flip-Flops,Denim,"[73, 197, 157]",155.36,Preppy,10,Cloudy,5.0
Polo,Silk,"[50, 94, 10]",71.27,Shorts,Leather,"[49, 41, 206]",62.2,Moccasins,Synthetic,"[231, 240, 182]",230.7,Streetwear,-2,Snowy,1.0
Blouse,Fleece,"[17, 31, 96]",34.22,Culottes,Velvet,"[91, 121, 135]",113.63,Heels,Rubber,"[22, 184, 85]",124.28,Business Casual,18,Snowy,1.5
Tank Top,Wool,"[215, 164, 150]",177.65,Shorts,Silk,"[215, 144, 86]",158.62,Running Shoes,Wool,"[95, 115, 151]",113.12,Vintage,32,Cloudy,7.0
Blouse,Leather,"[18, 246, 68]",157.54,Skirt,Polyester,"[71, 27, 146]",53.72,Heels,Canvas,"[172, 128, 227]",152.44,Business Casual,16,Windy,5.0
Cardigan,Leather,"[67, 51, 64]",57.27,Leggings,Denim,"[112, 103, 185]",115.04,Sneakers,Velvet,"[59, 72, 132]",74.95,Vintage,31,Snowy,1.5
T-shirt,Nylon,"[254, 44, 7]",102.57,Trousers,Denim,"[180, 117, 135]",137.89,Sandals,Rubber,"[54, 252, 62]",171.14,Minimalist,32,Windy,5.0
Tank Top,Leather,"[149, 79, 122]",104.83,Shorts,Linen,"[102, 228, 25]",167.18,Loafers,Wool,"[192, 17, 61]",74.34,Preppy,32,Cloudy,7.0
T-shirt,Silk,"[159, 74, 31]",94.51,Culottes,Silk,"[144, 18, 59]",60.35,Loafers,Mesh,"[154, 125, 121]",133.22,Minimalist,7,Snowy,1.5
Tank Top,Leather,"[251, 78, 15]",122.54,Leggings,Velvet,"[188, 56, 156]",106.87,Sneakers,Velvet,"[174, 189, 90]",173.23,Sporty,18,Windy,5.0
Cardigan,Polyester,"[230, 48, 210]",120.89,Chinos,Cotton,"[150, 138, 123]",139.88,Oxfords,Wool,"[16, 189, 137]",131.34,Streetwear,1,Cloudy,3.5
Coat,Wool,"[157, 146, 209]",156.47,Culottes,Velvet,"[90, 145, 63]",119.21,Sandals,Canvas,"[155, 232, 72]",190.74,Preppy,32,Sunny,2.5
Hoodie,Silk,"[239, 78, 154]",134.8,Shorts,Fleece,"[13, 109, 94]",78.59,Sandals,Leather,"[145, 99, 203]",124.61,Elegant,-2,Windy,2.0
Tunic,Fleece,"[27, 125, 19]",83.61,Chinos,Nylon,"[240, 140, 107]",166.14,Flip-Flops,Wool,"[200, 185, 180]",188.91,Sporty,16,Rainy,3.0
Sweater,Cotton,"[125, 254, 112]",199.24,Sweatpants,Denim,"[244, 6, 21]",78.87,Espadrilles,Leather,"[145, 64, 61]",87.88,Business Casual,11,Windy,5.0
T-shirt,Nylon,"[205, 154, 194]",173.81,Jeans,Velvet,"[98, 60, 245]",92.45,Espadrilles,Velvet,"[36, 17, 67]",28.38,Vintage,4,Rainy,2.5
Jacket,Nylon,"[55, 35, 224]",62.53,Sweatpants,Silk,"[17, 196, 68]",127.89,Boots,Canvas,"[95, 77, 202]",96.63,Sporty,34,Windy,1.0
Tank Top,Velvet,"[230, 31, 43]",91.87,Skirt,Denim,"[68, 124, 128]",107.71,Oxfords,Synthetic,"[116, 24, 253]",77.61,Bohemian,35,Sunny,7.0
Polo,Linen,"[13, 221, 176]",153.68,Joggers,Leather,"[174, 121, 95]",133.88,Espadrilles,Canvas,"[86, 18, 37]",40.5,Formal,33,Snowy,1.5
T-shirt,Linen,"[197, 175, 101]",173.14,Trousers,Cotton,"[73, 95, 27]",80.67,Moccasins,Mesh,"[81, 235, 174]",182.0,Elegant,20,Windy,3.0
Sweater,Denim,"[227, 93, 92]",132.95,Chinos,Wool,"[14, 10, 12]",11.42,Loafers,Canvas,"[161, 92, 121]",115.94,Streetwear,1,Rainy,5.0
Tank Top,Fleece,"[23, 121, 77]",86.68,Joggers,Cotton,"[120, 156, 215]",151.96,Sneakers,Velvet,"[185, 200, 212]",196.88,Preppy,0,Rainy,2.5
Polo,Denim,"[11, 97, 27]",63.31,Skirt,Fleece,"[14, 243, 15]",148.54,Loafers,Velvet,"[219, 56, 91]",108.73,Bohemian,32,Cloudy,5.0
Tank Top,Wool,"[198, 7, 216]",87.94,Chinos,Fleece,"[234, 1, 53]",76.59,Heels,Mesh,"[141, 228, 54]",182.15,Elegant,27,Windy,5.0
T-shirt,Leather,"[167, 198, 248]",194.43,Chinos,Denim,"[157, 3, 15]",50.41,Running Shoes,Canvas,"[220, 11, 161]",90.59,Sporty,2,Rainy,2.5
Jacket,Velvet,"[122, 58, 53]",76.57,Culottes,Cotton,"[249, 223, 74]",213.79,Loafers,Velvet,"[173, 246, 0]",196.13,Minimalist,18,Windy,5.0
Cardigan,Leather,"[187, 109, 67]",127.53,Cargo Pants,Fleece,"[33, 63, 135]",62.24,Sneakers,Velvet,"[43, 250, 220]",184.69,Casual,22,Cloudy,5.0
Tunic,Wool,"[101, 0, 175]",50.15,Leggings,Cotton,"[9, 50, 29]",35.35,Moccasins,Knit,"[164, 195, 253]",192.34,Elegant,14,Windy,5.0
Sweater,Nylon,"[123, 10, 192]",64.53,Jeans,Fleece,"[197, 125, 168]",151.43,Sandals,Synthetic,"[87, 239, 135]",181.7,Business Casual,23,Windy,5.0
Tunic,Cotton,"[177, 45, 231]",105.67,Trousers,Velvet,"[191, 91, 231]",136.86,Espadrilles,Suede,"[128, 187, 0]",148.04,Minimalist,23,Snowy,1.5
Polo,Leather,"[198, 30, 105]",88.78,Shorts,Wool,"[177, 188, 131]",178.21,Sandals,Rubber,"[209, 195, 19]",179.12,Formal,28,Windy,5.0
Tunic,Nylon,"[136, 238, 23]",182.99,Jeans,Linen,"[84, 103, 157]",103.47,Sandals,Synthetic,"[45, 225, 43]",150.43,Minimalist,-4,Cloudy,5.0
Blouse,Leather,"[48, 232, 200]",173.34,Skirt,Leather,"[12, 14, 3]",12.15,Sandals,Canvas,"[229, 117, 55]",143.42,Formal,27,Rainy,3.0
Tank Top,Silk,"[160, 212, 246]",200.33,Sweatpants,Cotton,"[51, 165, 114]",125.1,Boots,Velvet,"[233, 83, 63]",125.57,Formal,0,Rainy,3.5
Cardigan,Nylon,"[79, 135, 21]",105.26,Chinos,Velvet,"[27, 191, 50]",125.89,Heels,Knit,"[196, 119, 153]",145.9,Vintage,20,Cloudy,5.0
Tank Top,Cotton,"[78, 218, 214]",175.68,Jeans,Velvet,"[214, 59, 216]",123.24,Running Shoes,Canvas,"[249, 120, 43]",149.79,Minimalist,35,Sunny,5.0
Jacket,Wool,"[49, 84, 159]",82.09,Culottes,Cotton,"[127, 58, 151]",89.23,Flip-Flops,Mesh,"[231, 99, 37]",131.4,Casual,10,Windy,5.0
Hoodie,Wool,"[198, 249, 62]",212.43,Shorts,Leather,"[83, 227, 246]",186.11,Sneakers,Suede,"[69, 37, 199]",65.04,Streetwear,34,Cloudy,2.5
Coat,Silk,"[246, 117, 60]",149.07,Jeans,Fleece,"[143, 198, 249]",187.37,Espadrilles,Synthetic,"[56, 4, 181]",39.73,Vintage,23,Cloudy,5.0
Sweater,Leather,"[174, 115, 90]",129.79,Trousers,Velvet,"[170, 111, 28]",119.18,Flip-Flops,Denim,"[249, 237, 70]",221.55,Vintage,4,Rainy,2.5
Tunic,Denim,"[211, 59, 216]",122.35,Chinos,Wool,"[114, 3, 176]",55.91,Flip-Flops,Rubber,"[151, 44, 246]",99.02,Sporty,30,Sunny,5.0
Jacket,Silk,"[23, 204, 183]",147.49,Joggers,Wool,"[223, 222, 160]",215.23,Oxfords,Knit,"[190, 60, 168]",111.18,Elegant,28,Rainy,6.0
Coat,Silk,"[39, 220, 89]",150.95,Culottes,Polyester,"[209, 50, 227]",117.72,Sneakers,Rubber,"[139, 132, 71]",127.14,Bohemian,0,Snowy,4.5
Blouse,Silk,"[133, 157, 82]",141.27,Shorts,Nylon,"[81, 0, 12]",25.59,Oxfords,Rubber,"[151, 116, 132]",128.29,Business Casual,12,Rainy,5.0
Jacket,Linen,"[100, 253, 32]",182.06,Culottes,Cotton,"[209, 105, 54]",130.28,Sandals,Knit,"[79, 119, 156]",111.26,Casual,32,Sunny,5.0
Polo,Cotton,"[193, 2, 23]",61.5,Cargo Pants,Cotton,"[178, 203, 234]",199.06,Running Shoes,Leather,"[189, 17, 153]",83.93,Preppy,-4,Snowy,1.5
Sweater,Cotton,"[17, 124, 97]",88.93,Sweatpants,Polyester,"[0, 118, 37]",73.48,Running Shoes,Wool,"[12, 73, 192]",68.33,Preppy,25,Sunny,5.0
Coat,Linen,"[133, 77, 212]",109.13,Cargo Pants,Cotton,"[245, 183, 199]",203.36,Espadrilles,Suede,"[246, 208, 28]",198.84,Casual,3,Windy,6.5
Tank Top,Polyester,"[10, 151, 210]",115.57,Shorts,Polyester,"[122, 147, 219]",147.73,Sandals,Wool,"[111, 155, 102]",135.8,Business Casual,9,Sunny,5.0
Coat,Polyester,"[102, 228, 62]",171.4,Chinos,Leather,"[160, 98, 134]",120.64,Sandals,Leather,"[190, 138, 160]",156.06,Bohemian,33,Snowy,1.0
Tank Top,Denim,"[51, 138, 129]",110.96,Jeans,Linen,"[198, 98, 131]",131.66,Sandals,Denim,"[68, 237, 101]",170.97,Business Casual,7,Rainy,3.0
Cardigan,Linen,"[65, 69, 236]",86.84,Leggings,Nylon,"[22, 234, 189]",165.48,Loafers,Suede,"[4, 204, 100]",132.34,Bohemian,4,Rainy,5.0
Tunic,Fleece,"[49, 40, 200]",60.93,Trousers,Polyester,"[9, 176, 223]",131.43,Moccasins,Denim,"[148, 84, 217]",118.3,Formal,9,Windy,5.0
Coat,Cotton,"[218, 102, 1]",125.17,Trousers,Fleece,"[81, 128, 186]",120.56,Heels,Leather,"[157, 210, 138]",185.94,Vintage,33,Rainy,3.5
Polo,Linen,"[103, 7, 245]",62.84,Trousers,Nylon,"[221, 99, 98]",135.36,Running Shoes,Mesh,"[79, 142, 167]",126.01,Casual,33,Sunny,5.0
Coat,Fleece,"[63, 22, 135]",47.14,Skirt,Silk,"[230, 123, 87]",150.89,Sandals,Rubber,"[77, 148, 234]",136.57,Preppy,4,Snowy,2.0
Hoodie,Leather,"[212, 23, 153]",94.33,Joggers,Fleece,"[23, 168, 200]",128.29,Moccasins,Synthetic,"[15, 93, 52]",65.0,Elegant,20,Sunny,3.0
Sweater,Wool,"[250, 64, 166]",131.24,Shorts,Linen,"[170, 25, 168]",84.66,Sneakers,Denim,"[215, 223, 208]",218.9,Minimalist,27,Rainy,2.5
Hoodie,Nylon,"[50, 52, 171]",64.97,Culottes,Leather,"[106, 162, 207]",150.39,Espadrilles,Leather,"[81, 178, 214]",153.1,Sporty,24,Sunny,5.0
Coat,Fleece,"[169, 106, 34]",116.63,Jeans,Cotton,"[48, 210, 151]",154.84,Sandals,Knit,"[158, 252, 157]",213.06,Vintage,1,Rainy,5.5
Jacket,Wool,"[42, 151, 159]",119.32,Skirt,Cotton,"[98, 45, 101]",67.23,Sneakers,Synthetic,"[152, 0, 31]",48.98,Business Casual,7,Sunny,5.0
Tank Top,Polyester,"[180, 35, 90]",84.62,Trousers,Fleece,"[51, 19, 64]",33.7,Oxfords,Knit,"[56, 3, 216]",43.13,Business Casual,35,Cloudy,5.0
Blouse,Velvet,"[18, 70, 67]",54.11,Trousers,Denim,"[165, 89, 113]",114.46,Sandals,Denim,"[80, 59, 33]",62.31,Formal,17,Snowy,1.5
Coat,Velvet,"[62, 103, 35]",82.99,Cargo Pants,Velvet,"[1, 203, 236]",146.36,Boots,Mesh,"[227, 14, 98]",87.26,Elegant,10,Sunny,5.0
T-shirt,Leather,"[238, 168, 95]",180.61,Sweatpants,Nylon,"[214, 175, 150]",183.81,Sneakers,Rubber,"[9, 151, 164]",110.02,Preppy,26,Snowy,1.0
Cardigan,Velvet,"[249, 134, 41]",157.78,Trousers,Denim,"[105, 17, 16]",43.2,Moccasins,Rubber,"[149, 110, 0]",109.12,Bohemian,0,Snowy,1.5
Cardigan,Wool,"[163, 59, 151]",100.58,Shorts,Linen,"[163, 152, 127]",152.44,Boots,Canvas,"[49, 242, 177]",176.88,Vintage,14,Windy,5.0
Tank Top,Velvet,"[210, 34, 45]",87.88,Jeans,Nylon,"[84, 108, 65]",95.92,Boots,Denim,"[42, 224, 100]",155.45,Streetwear,1,Sunny,3.5
Jacket,Cotton,"[252, 178, 131]",194.77,Cargo Pants,Cotton,"[76, 108, 165]",104.93,Moccasins,Mesh,"[97, 185, 126]",151.96,Casual,8,Cloudy,5.0
Sweater,Leather,"[67, 104, 28]",84.27,Cargo Pants,Wool,"[85, 31, 197]",66.07,Oxfords,Suede,"[33, 72, 21]",54.52,Preppy,27,Sunny,2.5
T-shirt,Nylon,"[213, 49, 211]",116.5,Sweatpants,Silk,"[47, 144, 241]",126.05,Loafers,Wool,"[31, 72, 67]",59.17,Bohemian,11,Snowy,1.5
Sweater,Polyester,"[3, 200, 167]",137.34,Shorts,Fleece,"[83, 152, 24]",116.78,Sneakers,Leather,"[145, 84, 137]",108.28,Streetwear,-5,Sunny,4.0
Sweater,Velvet,"[52, 15, 18]",26.41,Skirt,Nylon,"[147, 32, 57]",69.23,Sneakers,Wool,"[62, 107, 212]",105.51,Preppy,11,Snowy,3.0
Blouse,Polyester,"[53, 29, 220]",57.95,Joggers,Leather,"[222, 99, 99]",135.78,Running Shoes,Canvas,"[37, 160, 5]",105.55,Bohemian,6,Snowy,1.5
Tunic,Denim,"[62, 240, 8]",160.33,Skirt,Leather,"[28, 233, 234]",171.82,Sandals,Suede,"[117, 97, 50]",97.62,Preppy,13,Windy,5.0
Hoodie,Silk,"[183, 39, 64]",84.91,Culottes,Denim,"[102, 214, 233]",182.68,Running Shoes,Mesh,"[106, 161, 209]",150.03,Casual,26,Snowy,1.0
Hoodie,Leather,"[104, 208, 0]",153.19,Cargo Pants,Fleece,"[50, 19, 184]",47.08,Running Shoes,Wool,"[126, 243, 179]",200.72,Minimalist,25,Snowy,1.5
Hoodie,Silk,"[17, 208, 229]",153.28,Cargo Pants,Linen,"[108, 64, 29]",73.17,Running Shoes,Suede,"[91, 54, 247]",87.06,Minimalist,9,Cloudy,5.0
Tunic,Denim,"[99, 134, 69]",116.12,Shorts,Silk,"[50, 3, 125]",30.96,Running Shoes,Leather,"[191, 179, 2]",162.41,Business Casual,27,Snowy,1.5
Sweater,Denim,"[137, 151, 229]",155.71,Leggings,Velvet,"[75, 4, 28]",27.96,Boots,Knit,"[227, 36, 148]",105.88,Casual,19,Sunny,5.0
Cardigan,Cotton,"[104, 115, 89]",108.75,Jeans,Cotton,"[94, 18, 177]",58.85,Sandals,Wool,"[40, 18, 75]",31.08,Bohemian,-1,Rainy,3.0
Hoodie,Denim,"[107, 161, 119]",140.07,Shorts,Linen,"[100, 206, 197]",173.28,Loafers,Suede,"[233, 168, 221]",193.48,Vintage,24,Cloudy,5.0
Tunic,Leather,"[154, 233, 114]",195.81,Cargo Pants,Wool,"[114, 115, 119]",115.16,Loafers,Synthetic,"[151, 13, 187]",74.1,Business Casual,31,Cloudy,2.5
Sweater,Nylon,"[166, 125, 168]",142.16,Jeans,Fleece,"[181, 7, 116]",71.45,Boots,Canvas,"[25, 244, 213]",174.98,Vintage,27,Windy,1.0
Jacket,Polyester,"[246, 131, 14]",152.05,Cargo Pants,Denim,"[116, 153, 169]",143.76,Sneakers,Rubber,"[63, 4, 27]",24.26,Casual,4,Windy,5.0
Jacket,Velvet,"[38, 44, 227]",63.07,Joggers,Fleece,"[116, 107, 97]",108.55,Oxfords,Mesh,"[59, 49, 223]",71.83,Business Casual,9,Snowy,1.5
Polo,Silk,"[218, 90, 117]",131.35,Culottes,Cotton,"[159, 163, 68]",150.97,Loafers,Synthetic,"[135, 235, 224]",203.85,Preppy,-1,Sunny,5.0
Hoodie,Nylon,"[248, 120, 57]",151.09,Sweatpants,Velvet,"[9, 142, 81]",95.28,Oxfords,Wool,"[43, 176, 26]",119.13,Elegant,3,Rainy,4.5
Blouse,Cotton,"[138, 157, 158]",151.43,Chinos,Wool,"[157, 242, 178]",209.29,Flip-Flops,Suede,"[151, 248, 11]",191.98,Vintage,18,Sunny,5.0
Cardigan,Polyester,"[19, 89, 106]",70.01,Leggings,Cotton,"[4, 196, 124]",130.38,Oxfords,Knit,"[131, 31, 171]",76.86,Business Casual,17,Sunny,5.0
T-shirt,Cotton,"[133, 170, 126]",153.92,Sweatpants,Nylon,"[43, 220, 197]",164.45,Espadrilles,Mesh,"[48, 226, 71]",155.11,Minimalist,11,Snowy,1.5
Jacket,Polyester,"[94, 101, 4]",87.85,Shorts,Linen,"[176, 171, 3]",153.34,Sandals,Mesh,"[229, 33, 177]",108.02,Formal,24,Cloudy,5.0
Hoodie,Leather,"[14, 196, 214]",143.63,Skirt,Silk,"[168, 0, 237]",77.25,Loafers,Suede,"[44, 95, 224]",94.46,Elegant,15,Windy,3.0
Blouse,Nylon,"[11, 1, 241]",31.35,Cargo Pants,Silk,"[154, 178, 171]",170.03,Espadrilles,Denim,"[156, 71, 164]",107.02,Business Casual,25,Sunny,5.0
Hoodie,Polyester,"[239, 74, 207]",138.5,Chinos,Wool,"[154, 99, 191]",125.93,Boots,Mesh,"[207, 111, 73]",135.37,Bohemian,32,Snowy,1.0
Cardigan,Cotton,"[71, 156, 17]",114.74,Joggers,Linen,"[119, 251, 12]",184.29,Oxfords,Suede,"[79, 109, 248]",115.88,Business Casual,9,Cloudy,5.0
Hoodie,Polyester,"[106, 89, 227]",109.81,Culottes,Polyester,"[178, 220, 237]",209.38,Flip-Flops,Wool,"[155, 114, 144]",129.68,Streetwear,26,Cloudy,2.5
Polo,Cotton,"[203, 34, 125]",94.91,Leggings,Fleece,"[247, 169, 140]",189.02,Oxfords,Denim,"[226, 210, 251]",219.46,Minimalist,28,Cloudy,5.0
Jacket,Fleece,"[203, 187, 69]",178.33,Trousers,Fleece,"[11, 246, 203]",170.83,Espadrilles,Suede,"[29, 10, 59]",21.27,Minimalist,22,Cloudy,5.0
T-shirt,Linen,"[1, 226, 98]",144.13,Trousers,Linen,"[33, 70, 224]",76.49,Sneakers,Wool,"[184, 122, 10]",127.77,Streetwear,9,Sunny,5.0
Polo,Leather,"[191, 23, 102]",82.24,Cargo Pants,Polyester,"[129, 64, 177]",96.32,Flip-Flops,Velvet,"[207, 112, 186]",148.84,Streetwear,8,Snowy,1.5
Jacket,Velvet,"[188, 28, 23]",75.27,Jeans,Denim,"[140, 47, 48]",74.92,Loafers,Denim,"[198, 242, 174]",221.09,Vintage,35,Sunny,5.0
Coat,Silk,"[250, 24, 19]",91.0,Culottes,Wool,"[212, 92, 181]",138.03,Flip-Flops,Rubber,"[153, 143, 16]",131.51,Streetwear,-3,Cloudy,4.5
